Incident_ID,Date,Department,Model,Sub_Assembly,Incident_Description
23-308,2023-08-08 00:00:00,Customer Service,,,"No instructions sent with parts order, both sets of instructions exist in t:"
23-309,2023-08-08 00:00:00,Customer Service,ASR,Bike Accessories,"ASR tbar kit P# 2111469 - lower bolt too short. Information in kit correct & correct length bolt shipped however too short to fit. Instructions mention the bolt should be 3.5"" which would be a good length, kit lists a 2.75"" which is too short. "
23-310,2023-08-09 00:00:00,Production,ASR,Bike Drive Train,ASR order has 2012027 bottom bracket kit but it shouldn't - covered in BOM
23-311,2023-08-09 00:00:00,Production,ASR,Bike Steering,Several ASR steer rotation pipes have top opening pinched (oblong instead of round) so that a stem bolt top cap cannot be inserted. I had to put them in the vice and round them out with a pry bar.
23-312,2023-08-10 00:00:00,Production,EHDU,Bike Drive Train,"part number 3420076 and 3420074, 10 pcs each all painted was fabricated with wrong material size (3841878x8_625) "
23-313,2023-08-15 00:00:00,Customer Service,ET,Bike Drive Train,ET2611 stripped crank arm 
23-314,2023-08-15 00:00:00,Customer Service,,,"Incorrect chest harness size shipped on parts order - no charge replacement shipped. (chest harness was preinstalled onto seat, have have been an assembly error rather than shipping)"
23-315,2023-08-15 00:00:00,Customer Service,,,"SN2230539 photo missing, shipped on 06/14"
23-316,2023-08-15 00:00:00,Customer Service,ET,,No electric assist instructions or power cable sent with O23-18959-W1H9   (Instructions out dated and on my to do list)
23-317,2023-08-23 00:00:00,Production,ASR,Bike Accessories,ASR with rearsteer and electric assist causes issues with access to the key on the battery. Bike has throttle on rearsteer so we sent it under the assumtion the opperator will be able to access it but for future bikes this may become a problem.
23-318,2023-08-23 00:00:00,Customer Service,,Bike Accessories,"Customer requested sunshade canopy as per eval, recieved versa-brella with other manufacture label still attached. "
23-319,2023-08-24 00:00:00,Customer Service,,,Harware loosened and fell out of ratchet strap
23-320,2023-08-25 00:00:00,Customer Service,,,Commercial invoice not sent with UPS call tags for return shippment
23-321,2023-08-25 00:00:00,Customer Service,AS,Bike Frame,AS2000 snapped spud (old style frame)
23-322,2023-08-28 00:00:00,Customer Service,DCP,Bike Frame,DCP12 - snapped spud tube. Local bike here for repair
23-323,2023-08-28 00:00:00,Customer Service,,,"part names are not spelled similar in the config, minor issue. (tbar / t-bar) (highback / high back) (rear steer / rearsteer) (low back / lowback)"
23-324,2023-08-30 00:00:00,Customer Service,Chill-Out Chair,COC Cover,Customer recieved Roll'er with no velcro on the ottoman. It was also written on the pick ticket 'marketing wants pics' but the note was missed and pics not taken.  Replacement order will be submitted. 
23-325,2023-09-01 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Broken brake on a Roll'er caster, sent warranty replacement."
23-326,2023-09-01 00:00:00,Customer Service,ET,Bike Steering,Customer not comfortable riding on the rear of ET2611 as the handlebars are too high for a kiddo's mom to be comfortable. 
23-327,2023-09-06 00:00:00,Customer Service,,,SN not available & shipped Aug 10th. 
,2023-09-11 00:00:00,Production,EHDU,Bike Seating,EHDu20 p/o does not list seat frame
23-328,2023-09-11 00:00:00,Customer Service,,,"SN2230838 photo not in log - needed for incident with customer. Bike arrived with no electric assist charging cable, bent rotor and missing set screw"
23-329,2023-09-11 00:00:00,Customer Service,ASR2011,,"ASR2011 w/ electric assit not sent with charging cable, missing set screw in rotor hub. "
,2023-09-11 00:00:00,Production,ASR,Bike Steering,"ASR cable tensioner, 2411411, have shitty threads that don't allow the jam nut to thread on, and result in a ball joint that can't be easily adjusted. taps and dies don't work. 85% of them have this problem."
23-331,2023-09-12 00:00:00,Customer Service,ASR,Bike Accessories,"ASR16 with electric assist, charging cable and instructions not with bike when delivered. Customer also concerned that the battery was dead on arrival, they assumed it would have arrived charged. (how did we test the electric assist in QC with a dead battery? or is the customer not using correctly due to lack of instructions. )"
23-332,2023-09-12 00:00:00,Customer Service,,,"O23-20159 ESD was 08/31, no new ESD provided. Part order has still not shipped and customer has inquired a few times for an eta.    handlebar kit and 3 bolt stem are taking 2 weeks to ship."
23-333,2023-09-12 00:00:00,Customer Service,,,"ET2611 had electric assist on the order, but was not on the pick ticket. "
23-334,2023-09-12 00:00:00,Customer Service,ET,,No SN photo for SN2230561   -   again for this I really needed to see the bike to help the customer. These SN photos should be a requirement before the bike ships. Not having the photos costs me a lot of additoinal time troubleshooting. 
23-335,2023-09-12 00:00:00,Customer Service,AS,Bike Accessories,one lateral missing on delivery AS2000 O
23-336,2023-09-12 00:00:00,Customer Service,ASR,,There have been a few cases on an ASR with drag brake where the t-bar is missing / not quoted. Can we get a seperate kit which includes the tbar for drag brakes on ASR's? 
,2023-09-13 00:00:00,Production,ASR,Bike Steering,ASR cable tensioner has messed threads. can force on but not going to be easy to adjust for the assembler
,2023-09-13 00:00:00,Production,ASR,,ASR p/o has 2012027 for bottom bracket but it shouldn't
,2023-09-13 00:00:00,Production,ASR,,ASR cable tensioner has messed threads. can force on but not going to be easy to adjust for the assembler. ball joints also have rough threads which don't help - i am tapping these.
23-340,2023-09-14 00:00:00,Customer Service,,,Ratchet strap has fallen off the footplate - hardware loosened
23-341,2023-09-15 00:00:00,Customer Service,ASR,Bike Seating,ASR2011 HD seat slider failure. 
23-342,2023-09-15 00:00:00,Customer Service,,,No SN photo 2210604
23-343,2023-09-19 00:00:00,Customer Service,Chill-Out Chair,,No SN photo for RL223M251   -  the chair was delivered with possible missing parts. I was hoping to see what shipped with the chair to help the customer.   
23-344,2023-09-20 00:00:00,Customer Service,ASR,Bike Drive Train,"ASR2011 chain falling off, this trike has a mid hub - found only 1 of 9 bolts remaining which hold sprocket to hub."
,2023-09-21 00:00:00,Production,EHDU,Bike Drive Train,"EHDU12 lists Wide Glide frame (2503206) but the wheel kit EHD 12"" Steel (2112805) has standard length DCP axle 28 1/4"" (2612218)"
23-345,2023-09-22 00:00:00,Customer Service,ET,Bike Drive Train,"ET2611 - was missing electric assist - customer picked up and now hub contacting and rubbing against frame, sent a video which sounds like it is grinding bad - asked customer to verify. The chain guard may also be bent, I was hoping to check the sn photo to see how it left our facility but non exist. "
23-346,2023-09-22 00:00:00,Customer Service,,,"SN2230871 - Again no SN photo. In the SN folder, there are qty 55 'Indiscernible' sn photos from 2023 alone.... "
23-347,2023-09-22 00:00:00,Customer Service,DCP,Bike Accessories,"Incorrect sunshades sent on two dejay orders  - 3 sunshades total. We sent the universal instead of what was ordered and paid for. Is it possible to check before swapping to the universal style? In this case, the MSRP on the sunshades was $480.00 but we still sent universals"
23-348,2023-09-25 00:00:00,Customer Service,,,"Order submitted Fri 09/15 w/ Tues 09/19 ESD.     Thurs 09/21 I emailed asking when was going to ship, never recieved a reply.  Monday 09/25 order has still not shipped. This trike is not usable and school has been asking where their part is, I provided orig ESD but we are now well past. "
23-349,2023-09-26 00:00:00,Production,Multiple,Bike Seating,"Two recent orders have called for seat belt kits with small and extra large seat belts sizes. The matching seat belt, which exists as part of the seatback kit, are not size matched to the seatbelt kit, but are size matched to the backrest. So, the small seat bealt for the mini had a medium seat belt across the chest, and the extra large seat belt for the ASR had a large seat belt across the chest."
23-350,2023-09-26 00:00:00,Production,EHDU,Bike Drive Train,BOM for EHDU20 lists an EHDO BB Stem 2460436. Tony says it should be ehdu bb stem.
23-351,2023-09-27 00:00:00,Customer Service,ET,Bike Accessories,ET2611 will charge fully however after only a few feet of riding the battery level will drop to amber. Customer has tried two chargers and different outlets. Placed a parts order for a replacement battery. 
23-352,2023-09-27 00:00:00,Customer Service,ASR,Bike Seating,Another Vibank issue - Seat frame has snapped in two. 
23-353,2023-09-28 00:00:00,Production,,,"out of spec 3414432 ( 44 pcs) - remake all, took me 1.5 hours to figure out root cause and figure out a plan to correct and arrange with Fabrictation. 2 hours to make all 44 pcs again."
23-354,2023-09-28 00:00:00,Customer Service,ET,,Customer called due to a front flat tire on an ET2611 - was concerned he could not remove the front wheel as there is no connector on the wiring harness. 
23-355,2023-09-28 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Roll'er had 4 locking casters on the order & mfg notes, arrived with only 1 locking castor. Also quoted and submitted the order for the incorrect size. "
23-356,2023-09-28 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Roll'er has 5"" locking casters but this raises the height of the chair so that the velcro no longer lines up on the ottoman."
23-357,2023-10-03 00:00:00,Production,AS,Bike Frame,"self-centering spring tab incorrect placement on the frame, addressed with spring 1/4"" shorter."
23-358,2023-10-03 00:00:00,Production,AS,Bike Frame,"self-centering spring tab incorrect placement on the frame, will need spring that is 1/4"" shorter."
23-359,2023-10-03 00:00:00,Customer Service,ASR,Bike Accessories,Pedallic sensor parts order shipped for ASR16 SN2230863 however sensor mounting does not work with eccentric BB. Colin working on a solution
,2023-10-12 00:00:00,Production,EHDU,Bike Drive Train,"EHDU16 order has 2112802 Wheel Kit - EHD 16"", Solid Tires which has two ASR axles rather than a DCPWG axle"
23-360,2023-10-16 00:00:00,Customer Service,Multiple,Bike Accessories,"Seton's childrens asking for new footplates as they straps keep loosening and falling off ratchet footplates. dcp12, x2 DCP16 & AS2000. I also find this seldomly at schools."
23-361,2023-10-16 00:00:00,Production,EHDU,Bike Brakes,"EHDU has 2113211 ""brake kit - DCP caliper, rear steer location, 2nd lever w splitter"" but also ""no front brake"" option. Why is splitter listed?"
23-362,2023-10-16 00:00:00,Production,Multiple,Bike Drive Train,1/2 PH machine screws are not long enough for the extra large molded footplates. The ends of the screws do not reach the nylon lockring inside the 10-24 nut. I've made two pairs today. These should be changed to 5/8 at least.
23-363,2023-10-17 00:00:00,Production,Multiple,Bike Steering,"2411042 fabricated incorrectly in last batch of 50. Tab used has wrong size hole. Should be 3/8"" hole, tab has 1/4""."
23-364,2023-10-18 00:00:00,Production,ASR,Bike Brakes, ASR16 has an AS parking brake.
23-364,2023-10-19 00:00:00,Production,Multiple,Bike Steering,"tilt fork acme threaded rod is sticking out too far from the bottom of the lowers. Additional washers are necessary, and they dangle and jangle."
23-365,2023-10-20 00:00:00,Production,AS,Bike Drive Train,missedpick - O23-20364-B0N7 AS 2000 XT missing disc brakes on cart
23-366,2023-10-23 00:00:00,Production,ASR,Bike Brakes,ASR16 has as20 parking brake
23-367,2023-10-23 00:00:00,Production,ASR,Bike Steering,1/4NF jam nut won't thread on asr cable tensioner 2411441
23-368,2023-10-23 00:00:00,Production,ASR,Bike Steering,ASR cable tensioner 24111441 won't thread into ball joint
23-369,2023-10-23 00:00:00,Customer Service,ASR,Bike Drive Train,demo asr has loose chain which is now rubbing on the chain guard. (does this have an eccentric BB?)
23-370,2023-10-23 00:00:00,Customer Service,ET2611,Bike Drive Train,Front riders BB is spinning loose in the frame. Threaded cup unscrewed or stripped from shell. 
23-371,2023-10-23 00:00:00,Customer Service,AS,Bike Frame,AS2000 - snapped spud
,2023-10-24 00:00:00,Production,ASR,Bike Steering,ASR cable tensioner 24111441 won't thread into ball joint smoothly
,2023-10-24 00:00:00,Production,ASR,Bike Steering,ASR cable tensioner 24111441 won't thread into jam nuts
,2023-10-24 00:00:00,Production,Multiple,Bike Drive Train,HD Solid tire wheels have a different spoke cross pattern that makes it difficult or impossible to affix a reflector
23-375,2023-10-25 00:00:00,Customer Service,,,SN photo missing
,2023-10-26 00:00:00,Production,EHDO,Bike Seating,"EHDO bike has mismatched seat belt sizes: a LRG seat belt kit, and a medium seat belt in the backrest kit 2114105"
23-377,2023-10-26 00:00:00,Customer Service,AS,Bike Drive Train,Chain is reported falling off and can not pedal - unresolved
23-378,2023-10-26 00:00:00,Customer Service,AS,Bike Drive Train,Chain is reported slipping and can not pedal - unresolved
23-379,2023-10-26 00:00:00,Customer Service,DCP,Bike Drive Train,Chain is reported slipping and can not pedal - unresolved
23-380,2023-10-26 00:00:00,Customer Service,ET,Bike Accessories,Incorrect charger sent - connector size incorrect - replacement order submitted. 
23-381,2023-10-26 00:00:00,Customer Service,DCP,Bike Brakes,"RS brake lever pin will not engauge, lever contacting grip. - replacement lever order submitted"
23-382,2023-10-26 00:00:00,Customer Service,,,"Proforma's not being attached to return packages by customer, or not being supplied to customers. 3 UPS holds this week due to missing proforma. Tracking numbers are not searchable in CRM as they are entered in footnotes. Is it possible to have a searchable field in CRM where the tracking numbers can be entered rather than the invoice's footnotes? & shipping instruction sheet sent with return UPS tags?"
23-383,2023-10-26 00:00:00,Production,ASR,Bike Drive Train,ASR16 has bottom bracket kit 2012027
23-384,2023-10-27 00:00:00,Customer Service,ASR,Bike Drive Train,rear sprocket slipping on axle 
23-385,2023-10-27 00:00:00,Customer Service,AS,Bike Drive Train,On/off pin plunger snapped off and pin stuck in assembly and locked into direct drive. 
23-386,2023-10-30 00:00:00,Customer Service,ASR,Bike Drive Train,"Reported sprocket spinning on axle & chain fell off. From the image, no dimples drilled. "
23-387,2023-10-31 00:00:00,Production,DCP,Bike Drive Train,"DCP16 has mismatch tire option and wheel kit. says ""aluminum"" in place of smooth solid"
23-388,2023-11-01 00:00:00,Production,Multiple,Bike Drive Train,Ratchet ladder straps are difficult to push past hardware on the toe strap bracket. Almost impossible without a flat head screw driver to pry them. Can use the ratcher lever to push the strap past the hardware without too much trouble. Washer currently being used does not match the the kit information.
23-389,2023-11-02 00:00:00,Customer Service,Chill-Out Chair,COC Cover,Coc covers going through top stitch are taking longer than 4 weeks to manufacture making ESD's not accurate
23-390,nov 2,Customer Service,ET,Bike Steering,ET2611 rear steer handlebar loosened and was unable to steer. Customer says the front wheel started to shake violently. - sent instructions to tighten.
23-391,2023-11-02 00:00:00,Customer Service,AS,Bike Seating,AS2000 seat frame weld failure
23-392,2023-11-07 00:00:00,Production,Multiple,Bike Accessories,6410060 decal from contempra received as wrong size
23-393,2023-11-07 00:00:00,Customer Service,ASR,Bike Drive Train,Rear sprocket spinning on axle - newer trike
23-394,2023-11-07 00:00:00,Customer Service,DCP,Bike Frame,"DCP12 had pooling paint cause by frame porosity and ""not acceptable to resell"""
23-395,2023-11-08 00:00:00,Customer Service,,,"Parts order arrived with damaged box. Damaged powercoat,  missing hardware, instructions & plug ends for the pushbar. - unresolved."
23-396,2023-11-08 00:00:00,Customer Service,,,"Missing pair of ankle harnesses on parts order, had qty 2 but only 1 recieved. Package in good cond, likely a picking error. Replacment sent. "
23-397,2023-11-09 00:00:00,Production,Multiple,Bike Steering,"Tilt fork slotted tubes are getting scratched up when turned with the ratchet. Kitters do this to double check the full range of the fork extension. Most of the slotted tube is hidden inside the fork tine during typical customer use, but some scratching can be seen at the top of the slotted tube when the tilt fork is fully contracted. The scratching is caused by a weld seam inside the fork tine. Could try to smooth this out with a circular sanding bit."
23-398,2023-11-10 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"5 COC's ordered with two small side accessory sleeve pockets, was intended to have one on each side however. No order notes on to indicate pocket location. Chairs were manufactured with both small pockets on one side. Vendor has agreed to keep and use as they are. RC223X194, RC223X195, RC223X196, RC223X197, RC223X198. SN photos not backing up customer story, see photos. (only one part number exists for side pocket and is RHS specific, should RH be std but LH be an selectable P#?)"
23-399,2023-11-10 00:00:00,Customer Service,Chill-Out Chair,,"Two Chill-Out chairs were delivered to incorrect customers. Chairs and packing slips correct however shipping address box labels incorrect. One customer will keep incorrect chair, other customer has asked for a replacement. "
23-400,2023-11-10 00:00:00,Customer Service,,Bike Accessories,"DCP12 shipped with i2i however no red chin prompt included in package, according to engineering chin prompt no longer offered with i2i. Evals now incorrect as they show the chin prompt as dows our website. Spoke with Larry, he was not aware of the change and said the chin prompt is almost always needed. "
23-401,2023-11-13 00:00:00,Customer Service,ASR,Bike Drive Train,ASR2011 fixed sprocket scheered from hub - replacement sent on O23-20768
23-402,2023-11-15 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"COC cover made to fit a large RL214L013 which was the SN provided, however the SN tag also listed the chair as a M  - replacement order O23-20786 submitted and information provided to Dirk. "
23-403,2023-11-16 00:00:00,Customer Service,DCP,Bike Seating,"Lap belt not holding secure, the belt is slipping in the buckle. Sending Jaydene a replacement"
23-404,2023-11-16 00:00:00,Customer Service,,,"Customer ordered two tie rods, only one recieved in box. Replacement order submitted"
23-405,2023-11-20 00:00:00,Customer Service,ASR,Bike Drive Train,"Hal reported a slipping sprocket, says they have retightened a few times but axle has now snapped. "
23-406,2023-11-21 00:00:00,Customer Service,AS,Bike Seating,Customer reports highback w/ ext is flexing and hitting his hand when placed on the tbar. Customer says flexing enough for the seat frame screws to loosen up. Customer has placed a block of wood to correct the issue for now. 
23-407,2023-11-22 00:00:00,Production,DCP,Bike Steering,Order has rear steer option but does not show the rear steer kits. Does show a rear steer brake. 
23-408,2023-11-23 00:00:00,Customer Service,ASR,Bike Drive Train,Slipping sprocket on axle. 
23-409,2023-11-23 00:00:00,Customer Service,ASR,Bike Drive Train,Slipping sprocket on axle
23-410,2023-11-23 00:00:00,Customer Service,ASR,Bike Drive Train,Slipping sprocket on axle
23-411,2023-11-24 00:00:00,Production,ASR,Bike Seating,Rear contour line of Adult Extra Large seatbase (6114019) does not match the contour line of the Adult Extra Large Backrest (2114025). An unsightly gap appears between them. Pressing the seatbase into the backrest does not entirely eliminate the problem and makes it difficult to slide the seatbelts into place. This has happened on the last 3 extra large seats I've assembled. 
23-412,2023-11-24 00:00:00,Customer Service,DCP,Bike Frame,Snapped spud - likely due to damaged caused by an airline.
23-413,2023-11-24 00:00:00,Customer Service,,,"Red on/off plunger stripped.    Customer called who had recieved a replacement on/off & was advised the red pin plunger seemed to be loose, customer removed it and noticed the threads were stripped or cross threaded. Female threads were in good shape."
23-414,2023-11-28 00:00:00,Customer Service,AS,,AS2600 damage during transport
23-415,2023-11-29 00:00:00,Customer Service,AS,Bike Steering,AS2000 fork tab snapped & SN label incorrect as the sn does not exist.
23-416,2023-11-30 00:00:00,Customer Service,Chill-Out Chair,COC Cover,Replacement ottoman cover has a damaged zipper on delivery. 
23-417,2023-11-30 00:00:00,Customer Service,ASR,Bike Seating,ASR2011 seat slider warped - has been replaced 
23-418,2023-11-30 00:00:00,Customer Service,ASR,Bike Drive Train,"ASR2011 BB spun out of frame, wore a groove to the inside of the crank arm - reinstalled with threadlock"
23-419,2023-12-01 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"Medbloc liner too small to fit over chair, this was a no charge parts order to correct a prev internal error. Plese see time tracking sheet notes in images. "
23-420,2023-12-01 00:00:00,Customer Service,,,Transport cover damaged on arrival - box was damaged but not signed as damaged. 
23-421,2023-12-05 00:00:00,Customer Service,,,"Incorrect size wheel covers sent on O23-20872, needed 26in & shipped 24in. Replacement order submitted"
23-422,2023-12-05 00:00:00,Customer Service,ASR,Bike Drive Train,"Sprocket appears to have a set screw but has shifted to the side, scoring the axle in the process. parts order O23-20999 Mot Miss"
23-423,2023-12-05 00:00:00,Customer Service,ASR,Bike Drive Train,Sprocket slippin on rear axle - HD parts order O23-21000 - Mot Miss
23-424,2023-12-11 00:00:00,Production,Multiple,Bike Drive Train,"This morning, Mitch asked me to make him a footplate, based on the inclusion of custom foot tracing in the notes, but it was an adjustable footplate option. To further my conversation with Iain on custom foot tracing inclusions from earlier in November, I still think inclusions of foot/shoe tracings are confusing for kitting. In this case, no custom work would be done, as adjustable footplates are not cut to size. Why was the foot tracing penciled in beside the footplate kit? Why was it included in the notes? I think someone further up the commuinication chain should make a determination regarding the actual footplate size and whether custom work should be done, and *only* information pretaining to that should be included in the order. This means only length measurements on molded footplates."
23-425,2023-12-11 00:00:00,Customer Service,AS,Bike Steering,snapped tie rod - part quote supplied.
23-426,2023-12-12 00:00:00,Production,,,"Order calls for custom footplate in the notes: molded ratcheting medium with small length. The width of a small and medium footplate are the same, which means, if there's a ""small length"" then I just need to put a small ratcheting footplate on the cart. There's no need for other work to be done. The configurator shows medium footplate. I included small."
23-427,2023-12-14 00:00:00,Customer Service,Chill-Out Chair,,2023 COC eval showing old style chair with old style headrest. Customer was expecting a different style headrest as shown on the eval. 
23-428,2023-12-15 00:00:00,Production,EHDO,Bike Frame,"Main tubes on EHDO frame approx. 1/2"" too long, extending towards fork, limiting steering radius. Cable tensioner ground down to fit inside alumn. Bushing to increase steering radius. "
23-429,2023-12-15 00:00:00,Customer Service,AS,Bike Accessories,Snapped leg brace cuff
23-430,2023-12-19 00:00:00,Customer Service,ASR,Bike Seating,Snapped ASR seat frame part
23-431,2023-12-21 00:00:00,Customer Service,Chill-Out Chair,COC Cover,"Replacement COC  cover too small to fit ottoman and lots of extra material on the butt portion of the chair, so much that it is bunching up and over lapping. "
23-432,2023-12-21 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"Pelvic belt add-on kit shipped with no instructions. Numotion rep through it was quick to add on and just clipped into place, did not have a hole saw or needed tools. Is it possible for instructions to be added to the kit part number so it is not forgotten?"
24-001,2024-01-02 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,Pelvic pad seam coming undone. Repl part order submitted. 
24-002,2024-01-02 00:00:00,Customer Service,ASR,Bike Frame,Vibank ASR - rotational frame damage. This trike has had many issues & not sure the cause. 
24-003,2024-01-03 00:00:00,Sales,dco12,,"handlebars would not stay in place , rider would constantly pull them into their lap - unacceptable !"
24-004,2024-01-03 00:00:00,Customer Service,AS,Bike Steering,"handlebars not locking, stem slipping in fork. Tested with another stem and held securly. Sending replacement stem on O24-21219"
24-005,2024-01-04 00:00:00,Customer Service,ASR,Bike Accessories,Snapped footplate
24-006,2024-01-04 00:00:00,Customer Service,ASR,Bike Accessories,"Inner tube valve stem shifting sideways & cutting into the stem, tires PSI was monitered and never below 35."
24-007,2024-01-08 00:00:00,Customer Service,DCP,Bike Drive Train,"As advised on/off pin missing, found female threads stripped. Replaced on/off assy. "
24-008,2024-01-08 00:00:00,Customer Service,ASR,Bike Drive Train,Eccentric BB spun inwards into the trike frame causing the crank arm to rub against the frame. 
24-009,2024-01-09 00:00:00,Customer Service,,,Washers and thumbwheels short shipped on O24-21262 - sent replacement
24-010,2024-01-12 00:00:00,Customer Service,Chill-Out Chair,,No SN photo
24-011,2024-01-12 00:00:00,Customer Service,ASR,Bike Drive Train,loose spokes & missing hardware on wheel cover - warranty parts order submitted. This is another ASR issue for Motion Miss.
24-012,2024-01-15 00:00:00,Customer Service,,,"Config showing 3 different blacks on one trike order. Matte black, Black & Gloss Black. Can the colour naming structure be the same for all painted pieces to prevent confusion. "
24-013,2024-01-15 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,None of the four casters are locking on COC
24-014,2024-01-15 00:00:00,Customer Service,Chill-Out Chair,COC Cover,Split seam on a COC
24-015,2024-01-15 00:00:00,Customer Service,DCP,Bike Seating,"Customer backrest extension not able to be adjusted, only two of the thumbwheels line up to the tnuts. Likely the backrest extension brackets were screwed to headrest with only only two thumb wheels installed causing miss alignment. "
24-015,2024-01-15 00:00:00,Customer Service,,,"Stationary trainer installation issues. No instructions sent with trainer. Assisting customer via facetime and drive wheel trainer bracket under 7/16ths nuts not sitting straight vertical but clocked to about 1 Oclock causing trainer to lift up  on one corner. possuble cause, bearing  hangers not welded at correct angle. (should trainers be test fit as part of QA? instruction stickers attached to trainer?"
24-016,2024-01-16 00:00:00,Customer Service,ASR,Bike Drive Train,"Complaint of chain rubbing. Inspected and found eccentric bb has shifted to the rh side causing the chain to rub against the inside of the enclosed chain guard. Found the two lh setscrews on the ecc BB loose, one of which was almost all the way out of the BB shell. Was able to reinstall and resolve issue. "
24-017,2024-01-16 00:00:00,Customer Service,ASR,Bike Drive Train,"Loud creaking  noise from 16"" wheel while riding, seemed to be coming from the spokes. "
24-018,2024-01-16 00:00:00,Customer Service,Chill-Out Chair,COC Accessories,"No small pommel, config selects a med-lrg pommel in the config for a small chair. Spoke w/ Iain and small is supposed to be 3"" wide."
24-019,2024-01-17 00:00:00,Customer Service,,,"Mtn pedals P#2112081 with toe cage - sold as a kit w/ no mention of being a pair. All other pedals and footplates have 'pair' in the parts description, vendors think they need qty 2 of these pedals when ordering. Can we change the description to match others?"
24-020,2024-01-17 00:00:00,Customer Service,,,"On/Off short shipped, address incorrect on UPS label & customers first name incorrectly spelt. Customer was not pleased. "
24-021,2024-01-17 00:00:00,Customer Service,,,"P# 5013029 'Brake disc & caliper set' - I don’t believe this includes the brake disc as the description suggests, and it is not a kit with components listed. Is it possible to either change the desc. or add to the kits with the components listed?"
24-022,2024-01-18 00:00:00,Customer Service,DCP,,Dejay DCP16 arrive with bent fork & possible bent front wheel
24-023,2024-01-22 00:00:00,Customer Service,DCP,Bike Seating,"Kiddo unable to reach pedals, trike has a tilt seatframe. Even after adding spacers and a narrow seat, the child is unable to pedal, unable to complete range of motion.  ""the tilt seat has caused so many issues for us that is why I have fought to have it removed off the evals and asked Jen and Sara to no longer quote it even"""
24-024,2024-01-24 00:00:00,Customer Service,DCP,Bike Drive Train,"DCP16 chain making grinding and poping noises on first ride, chain was extremely tight. Customer loosened 6 BB bolts and was able to slide back BB to give some chain slack. (says no spring pin in BB, loosened and slid back easy) however now the chain is too loose and coming off.   (what are our chain tension specs? I have seen trikes with the chain so tight the on/off wont function )"
24-025,2024-01-24 00:00:00,Customer Service,ASR,Bike Drive Train,ASR2011 loose wheel spokes & snapped footplate - warranty parts order submitted
24-026,2024-01-26 00:00:00,Customer Service,,,No instructions sent with parts order - these pulley string instructions were recently redone.
24-027,2024-01-29 00:00:00,Customer Service,,,"Missing taper crank bolt on O23-21167 - Pick ticket has no check marks, not sure if order was checked before shipping. I have also asked the customer to recheck the box. "
24-028,2024-01-29 00:00:00,Customer Service,ASR,Bike Accessories,ASR ankle harness and chainguard decal damaged during transport. 
24-029,2024-01-31 00:00:00,Customer Service,,Bike Accessories,2 small pairs of gloves on PO- We sent 1 med pair and 1 small pair order was sent with no packing slip
24-030,2024-02-06 00:00:00,Customer Service,DCP,,"snapped stainless steel bottom bracket hardware, new trike. sent repl on O24-21483   unknown trike."
24-031,2024-02-06 00:00:00,Customer Service,DCP,,No SN photo - needed to resolve customer issue. 
24-032,2024-02-08 00:00:00,Customer Service,,,"Grip tape lifting on new trike, the moment dirt or dust gets on the adhesive it will never stick back down & a possible saftey issue. "
24-033,2024-02-08 00:00:00,Customer Service,DCP,Bike Frame,DCPmini - snapped spud
24-034,2024-02-09 00:00:00,Customer Service,DCP,Bike Frame,DCPmini - snapped spud
24-035,2024-02-12 00:00:00,Customer Service,,,"O24-21270 order past ESD, order is on the production board. Checked with Elaine who did not have a paper copy of the order, advised that the pick ticket may have not been handed back after being picked and no way to tell.  "
24-036,2024-02-13 00:00:00,Customer Service,,,Damaged rocker base on delivery 
24-037,2024-02-13 00:00:00,Customer Service,Chill-Out Chair,,"Rock'er serialized as roller, sn on chair listed as RL224L021 when this is a rocker. Customer verified. "
24-038,2024-02-20 00:00:00,Customer Service,ASR,Bike Drive Train,"repeat of 24-011 - ASR DW had spoke loosen and wheel fail, sent replacement and was installed by a bike shop mid January. Reported today that the replacement has now also failed. order submitted 21561"
24-039,2024-02-20 00:00:00,Customer Service,Chill-Out Chair,Bike Accessories,pushbar missing from Roll'er - SN photo does not show it installed - QA checksheet incorrectly checked off. repl order sent.
24-040,2024-02-21 00:00:00,Customer Service,,,"O24-21524 - chest harness short shipped. No pick ticket, no check marks, no highlights. "
24-042,2024-02-26 00:00:00,Customer Service,ET,Bike Drive Train,"Tandem Chain Issue - Customer complains that chain has fallen off multipul times, now falling off right away. Images show the spring style tensioner pitched upwards in the incorrect position, and the mid front hub has loosened and shifted. "
24-043,2024-02-26 00:00:00,Customer Service,DCP,,"Creative DCP12 went out with incorrect backrest and no footplate spacers. Order was changed in GP and email went out to Elaine & Troianne, notes in the CRM, written on the outside of the file & corrected on the order confirmation sheet however the changes were not made to the trike. Emailed on Feb 7th, invoiced Feb 14th. QC forms do not make sure the trike is going out as ordered. "
24-044,2024-02-26 00:00:00,Customer Service,,,"Pelvic belt straps not part of the kit, can they be added? As advised that they are in the BOM but no way to be added as a part of the kit. "
